n:152 mse_avg:2385.90 mse_y:3146.85 mse_u:1673.24 mse_v:54.77 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.90 psnr_v:30.75 
n:153 mse_avg:2395.73 mse_y:3159.31 mse_u:1682.31 mse_v:54.83 psnr_avg:14.34 psnr_y:13.13 psnr_u:15.87 psnr_v:30.74 
n:154 mse_avg:2388.83 mse_y:3149.60 mse_u:1679.82 mse_v:54.76 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.88 psnr_v:30.75 
n:155 mse_avg:2387.92 mse_y:3148.56 mse_u:1679.29 mse_v:54.01 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.88 psnr_v:30.81 
n:156 mse_avg:2396.26 mse_y:3159.92 mse_u:1683.32 mse_v:54.51 psnr_avg:14.34 psnr_y:13.13 psnr_u:15.87 psnr_v:30.77 
n:157 mse_avg:2382.95 mse_y:3143.32 mse_u:1669.55 mse_v:54.88 psnr_avg:14.36 psnr_y:13.16 psnr_u:15.90 psnr_v:30.74 
n:158 mse_avg:2390.22 mse_y:3151.40 mse_u:1681.25 mse_v:54.50 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.87 psnr_v:30.77 
n:159 mse_avg:2402.49 mse_y:3167.49 mse_u:1690.98 mse_v:53.98 psnr_avg:14.32 psnr_y:13.12 psnr_u:15.85 psnr_v:30.81 
n:160 mse_avg:2381.47 mse_y:3140.75 mse_u:1671.01 mse_v:54.80 psnr_avg:14.36 psnr_y:13.16 psnr_u:15.90 psnr_v:30.74 
n:161 mse_avg:2386.79 mse_y:3148.15 mse_u:1673.29 mse_v:54.84 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.90 psnr_v:30.74 
n:162 mse_avg:2390.13 mse_y:3151.75 mse_u:1679.65 mse_v:54.12 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.88 psnr_v:30.80 
